carrera
Spermophilus lateralis
Lycosa godeffroyi
Cathartes aura
Cercopithecus aethiops
Sarkidornis melanotos
Caiman crocodilus
Canis lupus lycaon
Ursus maritimus
Anastomus oscitans
Castor canadensis
Ciconia ciconia
Gazella granti
Lycaon pictus
Sagittarius serpentarius
Anathana ellioti
Equus burchelli
Propithecus verreauxi
Oryx gazella callotis
Pteronura brasiliensis
Mellivora capensis
Macropus agilis
Corvus albus
Isoodon obesulus
Cyrtodactylus louisiadensis
Bugeranus caruncalatus
Choriotis kori
Dendrocitta vagabunda
Loxodonta africana
Libellula quadrimaculata
Actophilornis africanus
